,Unnamed: 0,Comentario,Nome,Data,Comentario_Limpo,Sentimento
0,0,"This is the most piss poor attempt at a movie I’ve ever seen. The plot line was pitiful and the movie was so focused on the 3 girls getting powers that it never let web explore hers. The final fight scene was short lived with little action and no strategy or thought. The movie was an attempt to give back story to the 3 and web however, all it did was confused and anger the audience. If I was able I’d give 0/10 stars.",,2024-07-03,piss poor attempt movie ’ ever seen plot line pitiful movie focused girl getting power never let web explore final fight scene short lived little action strategy thought movie attempt give back story web however confused anger audience able ’ give star,negativo
1,1,"yall were overreacting this wasnt that bad. not amazing, especially for a marvel film, but i liked it.",,2024-07-02,all overheating wasnt bad amazing especially marvel film liked,positivo
2,2,"Well, this ranks right up there with the Blue Beatle. Terrible film. I knew it was going to be bad when the girls got on a table in a diner and started dancing. It was down hill from there.",George G,2024-07-01,well rank right blue beetle terrible film knew going bad girl got table diner started dancing hill,negativo
3,3,"CRITICS CRITICS, MOST CRITICS DON'T NO HOW TO REVIEW A MOVIE , 🍿 . THIS SPIDER MOVIE WAS A REFRESHING,NEW,BRIGHT, ENJOYABLE ESCAPE FROM THE REAL WORLD,... YOU DON'T LIKE SPIDERS, YOU SHOULDN'T BE WATCHING THIS MOVIE OR OR CRITICIZING IT IF YOU HAVE ARACHNOPHOBIA 🕷️🕸️",KEVIN E,2024-07-01,critic critic critic dont review movie 🍿 spider movie refreshingnewbright enjoyable escape real world dont like spider shouldnt watching movie criticizing arachnophobia 🕷️🕸️,negativo
4,4,"A film to run on TV in the backgound of your bed room if your having sleep problems. Nit a film you want to shell out your cash for at a cinema complext, which is what i did 

C list Marvel chatacters,
Uncompelling writen with a convoluted antagonist and double mojo plot..

Results Dud!",Richard M,2024-07-01,film run tv background bed room sleep problem nit film want shell cash cinema complex c list marvel characters compelling writer convoluted antagonist double mojo plot result dud,negativo
5,5,It is so bad its good because you can laugh at how stupid the movie is,Landon M,2024-07-01,bad good laugh stupid movie,negativo
6,6,I honestly could not believe ANYONE would write a script like this - much less “act” in it.,Stacy H,2024-06-30,honestly could believe anyone would write script like much le “ act ”,positivo
7,7,So bad it doesn’t even deserve a quarter of a star,Marty M,2024-06-30,bad ’ even deserve quarter star,negativo
8,8,"Un guión sin sentido, lleno de vacíos y sin lograr conectar a algunos de los personajes con la audiencia. Terrible villano y una publicidad falsa de lo que esperábamos ver. Ni Dakota en su prime podía salvar esto.",Daniel P,2024-06-30,meaningless script full empty without connecting character audienceterrible villain false advertising expected seeneither dakota prime could save,negativo
9,9,If the CW made films on the big screen. Amazingly bad.,Danny P,2024-06-29,cw made film big screen amazingly bad,negativo
